channel,unique_count,range,sd,constant,effectively_constant
telemetry_01,24720,405.7589985845415,30.330791831321548,False,False
telemetry_02,24720,68.14058469262707,7.645228491572083,False,False
telemetry_03,12,1.127773430198431e-10,7.274044108612685e-12,False,True
telemetry_04,603,1.1308514093042987,0.06290927847308976,False,False
telemetry_05,24720,0.011870408322081971,0.0026106777655830124,False,False
telemetry_06,6440,13.499487545225804,1.8689856783025507,False,False
telemetry_07,4,0.2578460970766514,0.0299518241302597,False,False
telemetry_08,66,6.912159733474255e-11,4.735857217366219e-12,False,True
telemetry_09,24720,83.55716488552844,9.805370636944465,False,False
telemetry_10,24720,40.552978092692015,2.3374644970047918,False,False
telemetry_11,3551,11.788611370166393,0.6474560693230507,False,False
telemetry_12,165,22.373510239822508,3.3142719006170296,False,False
telemetry_13,24720,47.10774473000674,5.7564196292494785,False,False
telemetry_14,46,5.6843418860808015e-12,4.681574147078433e-13,False,True
telemetry_15,6320,1177.2354472963489,101.79301284861016,False,False
telemetry_16,12,19.077381249651353,3.054910499574377,False,False
telemetry_17,13,2.2737367544323206e-13,1.453899675017678e-14,False,True
telemetry_18,24720,8.738404693218783,0.689088318216898,False,False
telemetry_19,24720,23.58359481167281,2.224589268008399,False,False
telemetry_20,1,0.0,2.842228432060968e-14,True,True
telemetry_21,161,25.016139184008352,2.329222234343969,False,False
telemetry_22,3358,744.2877546500349,99.21532124118974,False,False
telemetry_23,24720,410.29294511639455,37.96603276508704,False,False
telemetry_24,24720,832.8099597102864,46.9235356950855,False,False
telemetry_25,170,5.31711673505967,0.9117310545500452,False,False
telemetry_26,3532,1758.788759782663,123.73014829974032,False,False
telemetry_27,1,0.0,3.410674118473162e-13,True,True
telemetry_28,24720,442.5335217941483,68.04696977455454,False,False
