channel,total_variance,within_uav_variance,between_uav_variance,within_share,between_share,constant
telemetry_01,919.9569331149619,185.75479274276336,734.2021403721985,0.20191683551294093,0.7980831644870591,False
telemetry_02,58.449518688345535,58.202789144415945,0.24672954392959398,0.9957787583291291,0.004221241670870941,False
telemetry_03,5.848216121878206e-23,4.25043473332317e-23,1.5977813885550354e-23,0.0,0.0,True
telemetry_04,0.003957577318004749,0.003940596961045272,1.6980356959476077e-05,0.9957094061353584,0.004290593864641637,False
telemetry_05,6.815638395709956e-06,6.666119282514779e-06,1.49519113195177e-07,0.9780623465456604,0.021937653454339727,False
telemetry_06,3.4931074657000485,1.7402182928143572,1.752889172885691,0.49818630256930924,0.5018136974306907,False
telemetry_07,0.0008971117687300216,0.0007774918574309635,0.00011961991129905802,0.8666610834139479,0.1333389165860521,False
telemetry_08,2.211586279683931e-23,1.2546080151235128e-24,2.0861254781715797e-23,0.0,0.0,True
telemetry_09,96.1452933278527,95.62105668536165,0.5242366424910476,0.9945474539174434,0.005452546082556695,False
telemetry_10,5.463740274757865,5.442896321649361,0.020843953108504766,0.9961850395406234,0.0038149604593766128,False
telemetry_11,0.41919936170325495,0.36376263254510427,0.055436729158150684,0.8677556928214182,0.13224430717858185,False
telemetry_12,10.984398231219615,5.54017545007664,5.444222781142975,0.5043676798179507,0.4956323201820492,False
telemetry_13,33.13636694800853,25.273695766258854,7.862671181749676,0.7627177658285131,0.2372822341714868,False
telemetry_14,2.177230292168543e-25,7.772909367675996e-27,2.099501198491783e-25,0.0,0.0,True
telemetry_15,10361.817464797372,7635.165468798734,2726.6519959986376,0.7368558165339233,0.26314418346607676,False
telemetry_16,9.332478160409766,7.567618246014321,1.7648599143954449,0.8108905390336371,0.18910946096636289,False
telemetry_17,2.2068778748664083e-28,1.6465341992228706e-28,5.60343675643538e-29,0.0,0.0,True
telemetry_18,0.4748427103029937,0.0203349577065707,0.454507752596423,0.04282461805846216,0.957175381941538,False
telemetry_19,4.948797411338806,3.872462217186631,1.0763351941521746,0.782505707005494,0.2174942929945059,False
telemetry_20,8.35668801082212e-28,1.3561807932469807e-29,8.221069931497421e-28,0.0,0.0,True
telemetry_21,5.425276216962117,4.243432268093534,1.1818439488685828,0.7821596723179643,0.21784032768203573,False
telemetry_22,9843.679968992448,8199.858435869704,1643.8215331227443,0.8330074181301327,0.16699258186986732,False
telemetry_23,1441.4196439196635,1135.4810350669009,305.9386088527627,0.7877518804858096,0.2122481195141905,False
telemetry_24,2201.8182021279617,1995.497498743236,206.32070338472562,0.9062953048597175,0.09370469514028253,False
telemetry_25,0.8312535158309379,0.6307419794485607,0.2005115363823772,0.7587841343661064,0.24121586563389363,False
telemetry_26,15309.149598275744,2248.5364828125553,13060.613115463188,0.14687533545728798,0.853124664542712,False
telemetry_27,1.221140479619261e-25,2.3711922495903837e-27,1.1974285571233574e-25,0.0,0.0,True
telemetry_28,4630.390095499134,3428.2474538323168,1202.1426416668164,0.7403798347713009,0.259620165228699,False
