run,grouping,band,rows,uavs,r2,rmse,mae,bias,sse,sse_share
6,observed_rul,1-25,44,39,0.7634437579913413,3.6836280085569695,2.51153895662444,-0.31678743817881894,597.0410734387169,0.010491287828897692
6,observed_rul,26-50,58,43,0.23599173711776666,6.695220819968348,4.912422711213775,0.5013952984069971,2599.9069460319834,0.04568592231363742
6,observed_rul,51-75,87,60,-1.2732486833719086,11.089773854358777,8.449726093283358,3.1729062235066188,10699.528320251296,0.18801358270826007
6,observed_rul,76-100,118,72,-1.191874562351833,11.159876130913453,8.645883631766386,3.711424815560809,14696.054560365154,0.25824109127694905
6,observed_rul,101-125,193,86,-1.9918047458834396,12.112542689397149,9.153506090628886,-6.554580143731542,28315.74224767639,0.49756811587225575
7,observed_rul,1-25,44,39,0.5896359083588643,4.851692148619821,2.9919103407514354,1.871055447411746,1035.7123350190855,0.019551990547834328
7,observed_rul,26-50,58,43,-0.1693411987784581,8.282977911092976,5.903930809656637,2.0545462112185278,3979.247938387941,0.07511952445503757
7,observed_rul,51-75,87,60,-1.3747730149737762,11.334706226231647,8.435324510047076,2.641660362033734,11177.374175442781,0.21100445252864317
7,observed_rul,76-100,118,72,-1.3784777219153717,11.625217042140447,9.407941578456665,4.921521718109492,15947.189210670975,0.30104815996598017
7,observed_rul,101-125,193,86,-1.2011557298651225,10.389486476263414,7.882556557848005,-4.536273046967674,20832.695843408852,0.3932758725025048
6,cutoff,<=100,105,42,0.1843946190098985,12.485865885563852,9.784460388429688,-2.0792564613254263,16369.168925790154,0.2876412869406046
6,cutoff,101-200,255,80,0.8860351656514952,10.95615374386963,7.911193262746968,-0.8971862776611741,30609.512739123664,0.5378745663156114
6,cutoff,201-300,95,34,0.9517499129143296,8.21245880501105,5.924139070207746,-1.606560958515506,6407.225564280335,0.11258864853698579
6,cutoff,>300,45,10,0.8583759680205231,8.847304572039489,6.886211356489013,1.4183778282343054,3522.3659185693887,0.06189549820679835
7,cutoff,<=100,105,42,0.14223598436293705,12.80449739334971,9.729772690603351,-0.6675029889335874,17215.291117111447,0.32498715890428853
7,cutoff,101-200,255,80,0.9058122898190295,9.960240052964707,7.585695465101871,0.8084359108337379,25297.627387734006,0.4775640444202063
7,cutoff,201-300,95,34,0.9470616526955021,8.602196179347933,6.044791694888893,-0.2313422477421384,7029.789015258876,0.13270708837997797
7,cutoff,>300,45,10,0.8621093532136721,8.729912794302011,6.8707135360226905,0.4992801381513783,3429.5119828253073,0.0647417082955272
