policy,quantile,rows,outer_folds,mean_fold_r2,mean_fold_rmse,mean_fold_mae,mean_fold_bias,mean_fold_overprediction_rate,mean_fold_rms_overprediction,mean_fold_overprediction_q95,mean_fold_maximum_overprediction,pooled_r2,pooled_rmse,pooled_mae,pooled_bias,pooled_overprediction_rate,pooled_rms_overprediction,pooled_overprediction_q95,pooled_maximum_overprediction
control,,500,5,0.8942181190359573,10.530645085834054,7.810560406828199,0.08304489511571345,0.5119999999999999,7.254999160395369,15.929509620981971,28.65989860988508,0.8990644472094378,10.579625901666061,7.8105604068281975,0.08304489511571365,0.512,7.4067349749409015,16.966989228841474,32.67206034647262
q_0.50,0.5,500,5,0.8945611929578365,10.535437911127854,7.74946934249987,-0.801875625406988,0.462,6.816655835583498,14.810209290543105,28.542706429217493,0.8991860019206013,10.573253564339847,7.7494693424998715,-0.801875625406988,0.462,6.988045441893573,16.67403361959644,32.67206034647262
q_0.55,0.55,500,5,0.8925271415615155,10.642964610882775,7.831800741480866,-1.3285111887841936,0.43,6.5671550757030985,14.22179271521234,28.039124558331196,0.8971737541154291,10.678253296038537,7.831800741480867,-1.3285111887841936,0.43,6.758072987132584,16.62804664644866,32.67206034647262
q_0.60,0.6,500,5,0.8893083697598474,10.814384355817023,7.974922036322608,-1.9966855907495535,0.40800000000000003,6.236323793780231,13.633469791383252,27.259322098266676,0.8939211459375891,10.84582613219895,7.974922036322608,-1.9966855907495542,0.408,6.44884183400463,16.242801697298706,32.15280691561239
q_0.65,0.65,500,5,0.8810612856042361,11.215190113388283,8.297470977459955,-3.2553856270365715,0.35,5.629136252347427,12.472836668696024,25.607794186275658,0.8859750773837047,11.244706423397856,8.297470977459955,-3.2553856270365715,0.35,5.867819082372814,14.933945937979047,30.851883116824922
q_0.70,0.7,500,5,0.8706951888363932,11.698907391359734,8.70337580155591,-4.5115672362547175,0.316,5.0527613723707905,11.337489920790262,24.057981889541054,0.8758741628774663,11.732196371263294,8.70337580155591,-4.511567236254717,0.316,5.28190869798935,13.469283819841166,29.052869998984377
