method,folds,mean_r2,mean_rmse,mean_bias,mean_rms_overprediction,fold_wins_vs_control,relative_rmse_improvement
control_calibrated_blend,5,0.87955,11.5080,,,,0.0000
residual_corrected,5,0.8895919450911368,11.024273821414628,-0.3324771551696618,7.702890507835304,5,0.0420361380323014
member_mean,5,0.8684438388373452,12.018114223682241,-1.0211699706738713,7.74309274339068,,
trimmed_mean,5,0.8682416511094267,12.028623344696076,-1.0290441539268547,7.7470893698990535,,
member_median,5,0.867993128920068,12.04067891066003,-1.0380983524729377,7.749474982933924,,
nonnegative_blend,5,0.8666848652293965,12.087326460178772,-1.076788952571269,7.741190596050569,,
