uav_id,sse,rows
UAV_0053,3246.9910877385414,5
UAV_0015,2655.711599011926,5
UAV_0008,2563.1440205945128,5
UAV_0014,1991.911524735581,5
UAV_0099,1884.815904601412,5
UAV_0042,1809.7473446114664,5
UAV_0011,1743.455219073546,5
UAV_0100,1724.4637976354836,5
UAV_0001,1575.4901372632444,5
UAV_0080,1313.3138623767932,5
UAV_0030,1292.7843729147949,5
UAV_0020,1288.500031048477,5
UAV_0024,1073.0806115675787,5
UAV_0056,1072.8869797669427,5
UAV_0086,1012.5804936441882,5
UAV_0063,1009.1440275563326,5
UAV_0034,904.2019735667002,5
UAV_0072,900.5032296609405,5
UAV_0035,874.0068044178959,5
UAV_0095,824.0502214353264,5
UAV_0046,785.7967480296916,5
UAV_0006,781.5586894192943,5
UAV_0067,770.5981554704081,5
UAV_0089,734.1210593751017,5
UAV_0031,693.3849913353166,5
UAV_0091,691.2356250857515,5
UAV_0077,682.5934062359543,5
UAV_0036,663.6887186293189,5
UAV_0005,661.7940238655057,5
UAV_0051,654.3463823699411,5
UAV_0049,643.8738265775684,5
UAV_0074,592.2078187113674,5
UAV_0013,557.0834730916704,5
UAV_0073,520.9612773094597,5
UAV_0079,506.55221061596245,5
UAV_0004,476.7800311160339,5
UAV_0064,448.44816155842295,5
UAV_0040,417.9471686914525,5
UAV_0044,397.71173724660815,5
UAV_0047,392.02706054638077,5
UAV_0059,360.98238322622296,5
UAV_0094,357.9311373106786,5
UAV_0009,354.5077548128722,5
UAV_0066,342.33900461662677,5
UAV_0055,341.95162413968757,5
UAV_0083,335.88767068878667,5
UAV_0068,312.94312981691274,5
UAV_0071,309.6799693746745,5
UAV_0019,283.2058267592276,5
UAV_0029,273.80651545707605,5
UAV_0032,272.6871328934622,5
UAV_0021,271.8800223481874,5
UAV_0061,254.69386707450803,5
UAV_0022,250.28057552340107,5
UAV_0060,247.9719966722177,5
UAV_0076,241.4837299526896,5
UAV_0045,229.70184634587127,5
UAV_0017,226.3347148508368,5
UAV_0028,219.33414575209014,5
UAV_0097,216.38778205622464,5
UAV_0026,214.29758884075605,5
UAV_0093,213.7522296518063,5
UAV_0082,195.85402876135316,5
UAV_0087,187.85043481648088,5
UAV_0092,185.00989968320584,5
UAV_0057,181.76155824659574,5
UAV_0088,180.1494830403147,5
UAV_0090,162.30267006873754,5
UAV_0065,161.91359238301908,5
UAV_0098,159.26941787259145,5
UAV_0027,158.41778353216017,5
UAV_0058,151.3221909578339,5
UAV_0033,150.77084121544488,5
UAV_0025,144.26522093398646,5
UAV_0039,144.065096853171,5
UAV_0023,136.2706966512658,5
UAV_0081,120.46574891358404,5
UAV_0096,112.30523558784091,5
UAV_0041,111.92101430190407,5
UAV_0048,106.922983586778,5
UAV_0010,102.45816292840323,5
UAV_0003,96.62258921598121,5
UAV_0038,96.44480041004338,5
UAV_0050,91.08400925731841,5
UAV_0070,86.73565884647651,5
UAV_0062,84.71926921984343,5
UAV_0084,80.06655401379356,5
UAV_0043,79.54714973395556,5
UAV_0037,72.84440401046731,5
UAV_0012,70.63309058679482,5
UAV_0018,67.73245959228561,5
UAV_0016,67.36764040353943,5
UAV_0052,51.61737568963532,5
UAV_0075,41.79075718740185,5
UAV_0054,36.46591310304158,5
UAV_0078,35.68732221811352,5
UAV_0002,34.49824348243915,5
UAV_0007,34.14231915600557,5
UAV_0069,20.20882799272374,5
UAV_0085,5.180601807400329,5
