channel,count,mean,median,sd,min,q05,q25,q75,q95,max,iqr,effectively_constant
telemetry_01,100,85.81188774219915,86.40028022241722,29.562694423782986,-30.360971116016383,81.82702707159707,85.9028964725907,87.06394616748345,87.79466152230869,237.93468536439178,1.1610496948927533,False
telemetry_02,100,11.411902149426446,11.508654045754906,0.5324468936332459,9.855531381679327,10.382673970559042,11.08200976464396,11.78107742881463,12.147976729896723,12.685529819056768,0.6990676641706699,False
telemetry_03,100,30377.825049386065,30377.82504938608,1.470271630506388e-11,30377.825049386076,30377.825049386076,30377.82504938608,30377.82504938608,30377.825049386083,30377.825049386083,0.0,True
telemetry_04,100,-125.89482763502618,-125.89506191618801,0.004320492060388021,-125.90749534377127,-125.90182564317229,-125.89762618189633,-125.89211769606601,-125.8871585377552,-125.8850706932087,0.005508485830318932,False
telemetry_05,100,-113.52582851569015,-113.52585185358028,0.00041158953731899406,-113.52690039306928,-113.52640744511085,-113.52603159068556,-113.52558169141965,-113.52525068258352,-113.52405085646099,0.0004498992659165424,False
telemetry_06,100,-138.01205907128667,-137.51619788152772,1.3466176212376142,-140.43698057082713,-140.15534810176433,-139.29983397495175,-136.86746431343636,-136.1998206761734,-136.05083214846513,2.432369661515395,False
telemetry_07,100,140.60003927825048,140.5912754437698,0.01081132721288722,140.5912754437698,140.5912754437698,140.5912754437698,140.60872216086892,140.61891228125492,140.62898762803613,0.01744671709911927,False
telemetry_08,100,-4680.605940223163,-4680.605940223165,5.0274211243283086e-12,-4680.605940223188,-4680.605940223165,-4680.605940223165,-4680.605940223165,-4680.605940223165,-4680.605940223141,0.0,True
telemetry_09,100,-152.9532294962432,-152.88918616433267,0.7492562768637752,-155.2736933628521,-154.16049696156196,-153.4518733948949,-152.47200253835757,-151.78817485078028,-151.36929242138868,0.9798708565373317,False
telemetry_10,100,-62.427571318753024,-62.43625107242178,0.15156920410297278,-62.87104332605497,-62.67759472687726,-62.51069916395166,-62.33709043581689,-62.18458352335034,-62.038850387203496,0.17360872813476647,False
telemetry_11,100,62.47865779487219,62.56460883928956,0.24068589985959019,62.103366902987446,62.12861454737505,62.23356481560398,62.695623016450426,62.80164319004246,62.84537129834706,0.46205820084644955,False
telemetry_12,100,637.4194263568327,636.5483019952115,2.373784803982445,633.9482800291863,634.3186782115025,635.4087425802072,639.7216478405963,641.1017791416211,641.7522329878741,4.31290526038913,False
telemetry_13,100,7134.875706621131,7134.682530736887,2.8796931270601047,7130.637138897867,7131.073857560813,7132.223708367079,7137.282765844793,7139.773657607557,7140.402242457438,5.059057477714305,False
telemetry_14,100,-648.8153498138018,-648.8153498138018,4.746931719786223e-13,-648.8153498138028,-648.8153498138018,-648.8153498138018,-648.8153498138018,-648.8153498138018,-648.8153498137988,0.0,True
telemetry_15,100,50034.91933151919,50036.535659332745,56.75743956830576,49855.56092889489,49933.23500738826,50002.942359140565,50066.250949701665,50112.6441489482,50201.40618818648,63.30859056110057,False
telemetry_16,100,-695.8357715127245,-695.8085543540174,1.3275340914736404,-698.3940739306187,-697.897862457338,-696.8674584017294,-694.8076992405338,-693.5970435627402,-693.3364107473284,2.059759161195643,False
telemetry_17,100,40.415812282139726,40.41581228213973,7.658108703420217e-15,40.415812282139726,40.415812282139726,40.41581228213973,40.41581228213973,40.41581228213974,40.41581228213974,0.0,True
telemetry_18,100,-103.13756989175201,-103.32326543683101,0.699270040820864,-104.73203930828664,-103.32806701355149,-103.32686218091064,-103.09721489679296,-102.72852241386892,-98.49935583635434,0.2296472841176751,False
telemetry_19,100,33505.011186818076,33505.1283442759,0.9354379567374947,33502.15187490103,33502.97884155428,33504.68295519434,33505.58769036566,33506.205009036225,33506.53413670589,0.9047351713234093,False
telemetry_20,100,-164.89738417690256,-164.8973841769026,2.884912754112476e-14,-164.89738417690262,-164.8973841769026,-164.8973841769026,-164.8973841769026,-164.8973841769026,-164.89738417690256,0.0,True
telemetry_21,100,34961.65201400279,34961.78554154422,0.981171125107137,34958.65747830923,34959.475209955366,34961.333704660865,34962.27625756327,34962.921513972964,34963.260847844496,0.9425529024083517,False
telemetry_22,100,23049.530575893903,23049.334894251144,40.46214502998666,22974.02632071434,22981.955248685234,23020.318369102748,23081.153473615806,23113.053160244828,23122.627560529352,60.83510451305847,False
telemetry_23,100,-17384.101097652565,-17383.192088723423,18.682566824386885,-17439.46531182767,-17413.406524362526,-17393.61888911254,-17373.263501482015,-17355.077963683183,-17329.09245967066,20.355387630523182,False
telemetry_24,100,-3651.2241056689177,-3645.4873928737447,14.149122661126574,-3684.809975373051,-3678.3335579632035,-3661.8271031971817,-3640.7661923855094,-3635.552330510068,-3630.4774700744474,21.06091081167233,False
telemetry_25,100,-172.27153469267125,-172.22847891837,0.45940155503877417,-173.1506051145248,-173.11105726273198,-172.61281504192834,-171.88368186784214,-171.66221634704922,-171.514625483836,0.7291331740862006,False
telemetry_26,100,-7491.088871531306,-7471.770027768074,115.76270307292685,-8037.224785164468,-7579.014112009171,-7511.791027190722,-7465.460677869259,-7458.61363427421,-6767.472834461561,46.33034932146347,False
telemetry_27,100,969.0302044744711,969.0302044744708,3.439194107277036e-13,969.0302044744707,969.0302044744707,969.0302044744708,969.0302044744708,969.0302044744709,969.0302044744709,0.0,True
telemetry_28,100,-9769.405405386216,-9766.35177033631,35.741353059410315,-9840.517259671351,-9830.141283452904,-9800.59563914097,-9737.498552689289,-9722.087162907483,-9716.843052762284,63.09708645168212,False
