channel,pooled_pearson_rul,pooled_spearman_rul,pooled_pearson_cycle,pooled_spearman_cycle,partial_pearson_rul_controlling_cycle,partial_spearman_rul_controlling_cycle
telemetry_07,-0.3634317753562885,-0.4307632485626869,0.5282200070688239,0.46877920698957626,-0.14582349559658098,-0.22145179549418273
telemetry_13,-0.5900574835887065,-0.6478737696508308,0.30061250308924564,0.31094678505663614,-0.5326983243605202,-0.6036736950582847
telemetry_15,-0.4818073041660177,-0.4903302390466493,0.48856405284367055,0.4636101140265594,-0.32187848513096007,-0.30733269394157625
telemetry_16,0.6492201530633014,0.6996765470443913,-0.38618495932491076,-0.38185440766535184,0.5728887779628918,0.6350886977429037
telemetry_18,-0.006490125185753463,0.20557305747453583,0.09978803473809146,0.257501259299504,0.047833873781563875,0.4498581560636064
telemetry_19,-0.655853724150721,-0.7388766979612083,0.43700793095258467,0.44718915654987135,-0.5647897219071724,-0.6581556717097403
telemetry_21,-0.6553447809034066,-0.7387717097596644,0.4381106082284078,0.4475559584353588,-0.563804189691028,-0.6578558272949524
telemetry_22,-0.6242356794042637,-0.6725188315503696,0.3735059133113134,0.36826665919346413,-0.5464530452452774,-0.605886915425439
telemetry_23,0.5515964434628312,0.588250958482278,-0.5075501436347656,-0.48447543567632073,0.4062940813855832,0.4315954338345236
telemetry_25,0.6889151079472547,0.7584420334070917,-0.40741231764005414,-0.3924555331317043,0.6154650389499418,0.7083193120354391
telemetry_26,0.09541862253131761,0.09076512270770284,-0.15088927372668426,-0.22668863667563832,0.026079242074593962,-0.05083788613379737
telemetry_28,0.656580630440404,0.7246153060315763,-0.36153431616639037,-0.3599296508859514,0.5903710381464455,0.6785684504834619
