channel,effectively_constant,level_median,level_robust_scale,train_iqr,jump_median,jump_robust_scale
telemetry_01,False,86.1256068751618,12.058379161140996,16.26641468724671,-0.04551820176441623,16.101771611946013
telemetry_02,False,11.450119333911868,7.6016975902044415,10.245727605751066,0.049908459115270976,10.794400346647441
telemetry_03,True,30377.82504938608,0.0,0.0,0.0,0.0
telemetry_04,False,-125.89519002252504,0.03163139551046307,0.0426701679623136,0.0,0.04639271341539078
telemetry_05,False,-113.5258642454769,0.003653983060403614,0.004468296350808032,-1.165973877448323e-06,0.0039399525886840495
telemetry_06,False,-138.23398579240546,1.741669091753329,2.3432174781628987,-0.0037571632466324445,1.0732246642148338
telemetry_07,False,140.5912754437698,0.0299518241302597,0.0,0.0,0.014133579053085805
telemetry_08,True,-4680.605940223165,0.0,0.0,0.0,0.0
telemetry_09,False,-152.88423589119955,9.713293941116772,13.100505273851297,0.05979660321497704,13.764519154806734
telemetry_10,False,-62.398095712819,1.1919776178243973,1.606571662333124,0.0076722120497052515,1.7263270531394808
telemetry_11,False,62.43625919331159,0.3088716378618881,0.4166621312045109,0.0010683644389786195,0.16077164739993133
telemetry_12,False,637.8604797511073,3.1591396458630023,4.128445341872066,0.0,1.9744622786641235
telemetry_13,False,7133.733469887315,5.737327607426584,7.834073677680863,0.08272611324537138,4.746492043071268
telemetry_14,True,-648.8153498138018,0.0,0.0,0.0,0.0
telemetry_15,False,50018.21496682397,66.15888666925152,90.78904900823545,0.986837489217578,27.432848653443777
telemetry_16,False,-694.5992033130013,2.5712841309757053,5.2029221589957615,0.0,2.5712841309757053
telemetry_17,True,40.41581228213973,0.0,0.0,0.0,0.0
telemetry_18,False,-103.24512294228765,0.12900519401666066,0.26272754268099163,0.00010458375420796528,0.010436108294940058
telemetry_19,False,33504.829273886986,1.3822116223126926,1.874218491022475,0.015278903312719194,0.6531696987218863
telemetry_20,True,-164.8973841769026,0.0,0.0,0.0,0.0
telemetry_21,False,34961.497888093465,1.5271911510493925,2.060152638681757,0.0,0.6545104933115057
telemetry_22,False,23033.569170115163,98.0584038696463,133.04380347115875,1.893861971115257,83.58722973030868
telemetry_23,False,-17376.28551156349,25.134142873536987,34.622143091815815,-0.3663011522439774,11.419203736385228
telemetry_24,False,-3645.9075403895367,12.433335966794502,20.420803803837316,-0.13572499200267885,4.513441498416465
telemetry_25,False,-172.01769073691605,0.9009322595884864,1.2457244922140092,0.0,0.4504661297942432
telemetry_26,False,-7474.980156932639,26.38603164703711,47.36334188153705,-0.14352527842947893,7.447670222955774
telemetry_27,True,969.0302044744708,0.0,0.0,0.0,0.0
telemetry_28,False,-9751.853079010572,66.97489739533103,93.64856294079073,-1.0066622692856981,40.26323818407559
