uav_id,channel,window,available_points,endpoint_cycle,rolling_mean,rolling_sd,window_delta,window_slope
UAV_0001,telemetry_01,5,5,259,41.76696208877696,18.811943168033288,36.670347507592076,9.768753904846182
UAV_0001,telemetry_01,20,20,259,40.41318753481329,15.59459434872389,-27.180164143737365,-0.29375537863174983
UAV_0001,telemetry_01,50,50,259,34.17573607070268,16.498492308888007,35.6486360897034,0.4430575256198483
UAV_0001,telemetry_02,5,5,259,12.766165380812113,4.132881351465668,-2.3142028757299116,-0.43283697815854866
UAV_0001,telemetry_02,20,20,259,10.297736628300301,6.760214381074743,-5.494840672261036,0.08779608492902208
UAV_0001,telemetry_02,50,50,259,12.655773984171104,7.641859928389264,-8.839449655305515,-0.11049546544003946
UAV_0001,telemetry_03,5,5,259,30377.82504938608,0.0,0.0,0.0
UAV_0001,telemetry_03,20,20,259,30377.825049386087,7.46497500284134e-12,0.0,0.0
UAV_0001,telemetry_03,50,50,259,30377.82504938608,0.0,0.0,0.0
UAV_0001,telemetry_04,5,5,259,-125.9165251065062,0.04841178732170553,0.009956372524570156,0.005404887941904235
UAV_0001,telemetry_04,20,20,259,-125.90514639504958,0.03379758582822473,-0.08534033592466983,-0.0010929551793853035
UAV_0001,telemetry_04,50,50,259,-125.90153365416211,0.03411824159142473,-0.031291456505712745,-0.0002869265716043135
UAV_0001,telemetry_05,5,5,259,-113.52670774455626,0.0018492595367692482,0.002447516056449217,0.0005036916155503945
UAV_0001,telemetry_05,20,20,259,-113.5264302786953,0.002303718186183094,-0.000914390893115069,-5.422018874020381e-05
UAV_0001,telemetry_05,50,50,259,-113.5262477358781,0.0024247728011985623,0.001695554076277972,-1.88791873822089e-05
UAV_0001,telemetry_06,5,5,259,-134.23811744081465,0.2596638071950066,0.011271489739954177,-0.01903629378304572
UAV_0001,telemetry_06,20,20,259,-134.73982397301776,0.506321021558879,0.3419018554454283,0.04457935399074343
UAV_0001,telemetry_06,50,50,259,-135.31932883218158,0.8476676568249889,2.5836759259486826,0.03923590994853326
UAV_0001,telemetry_07,5,5,259,140.5912754437698,0.0,0.0,0.0
UAV_0001,telemetry_07,20,20,259,140.59127544376983,2.9160058604848984e-14,0.0,0.0
UAV_0001,telemetry_07,50,50,259,140.59127544376977,2.8710262101646174e-14,0.0,0.0
UAV_0001,telemetry_08,5,5,259,-4680.605940223167,1.7015087845602199e-12,9.094947017729282e-13,0.0
UAV_0001,telemetry_08,20,20,259,-4680.605940223167,2.0229600196375166e-12,2.7284841053187847e-12,0.0
UAV_0001,telemetry_08,50,50,259,-4680.605940223169,1.837456774505355e-12,5.4569682106375694e-12,0.0
UAV_0001,telemetry_09,5,5,259,-153.76190884705915,4.820687226325565,-1.0904526607962737,0.9104649880718995
UAV_0001,telemetry_09,20,20,259,-152.7515958622183,12.717912618950098,-3.8706337403067153,-0.440836923017355
UAV_0001,telemetry_09,50,50,259,-152.40990158758075,10.957308164048456,-1.9597005031971264,0.00383433680260991
UAV_0001,telemetry_10,5,5,259,-62.441395782266795,0.7307194103430183,0.625864417580793,0.0994046547163336
UAV_0001,telemetry_10,20,20,259,-62.7460896771571,1.0907274568125698,0.5977557769752551,0.03478409526393778
UAV_0001,telemetry_10,50,50,259,-62.744469374565305,1.3177538513568348,0.001415830727260925,-0.0034285680071866015
UAV_0001,telemetry_11,5,5,259,63.064457483435305,0.08506841363036023,0.07158041741206489,0.008386660846041139
UAV_0001,telemetry_11,20,20,259,63.00719314950567,0.10947787843351893,0.09668698172822587,0.008296291673568632
UAV_0001,telemetry_11,50,50,259,62.89755759077693,0.14159755591123652,0.3263853361101994,0.0076139883895364885
UAV_0001,telemetry_12,5,5,259,630.136291692121,0.8263332154506866,-0.5327026247575759,-0.06658782809467993
UAV_0001,telemetry_12,20,20,259,630.8088287558775,1.3030420336461808,-2.3971618114094326,-0.1294707695134719
UAV_0001,telemetry_12,50,50,259,632.2644386780278,1.6751786801594952,-5.59337755995557,-0.08552019448840852
UAV_0001,telemetry_13,5,5,259,7147.652709001632,2.4080771381836334,5.823558058955314,0.9613560724021226
UAV_0001,telemetry_13,20,20,259,7146.367264117531,2.9211154964714434,8.61961195342883,0.2735197602384393
UAV_0001,telemetry_13,50,50,259,7143.724426146659,3.918736055105449,13.654162897215429,0.19034829010007895
UAV_0001,telemetry_14,5,5,259,-648.8153498137997,8.038873388460929e-14,1.1368683772161603e-13,0.0
UAV_0001,telemetry_14,20,20,259,-648.8153498137997,1.075369826738685e-13,2.2737367544323206e-13,0.0
UAV_0001,telemetry_14,50,50,259,-648.8153498137998,1.0525355944225241e-13,2.2737367544323206e-13,0.0
UAV_0001,telemetry_15,5,5,259,50064.904715532684,19.715536797897478,36.20460038575402,7.105229922383296
UAV_0001,telemetry_15,20,20,259,50064.802947916614,19.661500729356305,27.878159070467518,-0.6257236015997533
UAV_0001,telemetry_15,50,50,259,50067.71966947069,19.242845941856338,-29.728479362755024,-0.18644475876767005
UAV_0001,telemetry_16,5,5,259,-702.5770172901282,2.9020513277334596,-6.937229545327796,-1.2140151704323672
UAV_0001,telemetry_16,20,20,259,-701.8832943355956,1.9973287052460105,-3.468614772663841,-0.08084741199441942
UAV_0001,telemetry_16,50,50,259,-700.2183592447167,2.2314748924512005,-5.2029221589957615,-0.08761063003223095
UAV_0001,telemetry_17,5,5,259,40.41581228213973,0.0,0.0,0.0
UAV_0001,telemetry_17,20,20,259,40.41581228213974,7.290014651212246e-15,0.0,0.0
UAV_0001,telemetry_17,50,50,259,40.41581228213974,7.177565525411544e-15,0.0,0.0
