channel,pooled_pearson_rul,pooled_spearman_rul,pooled_pearson_cycle,pooled_spearman_cycle,partial_pearson_rul_controlling_cycle,partial_spearman_rul_controlling_cycle
telemetry_01,-0.05635120432857776,-0.013377275831099928,0.03231981145960357,0.0025909394531148868,-0.046554120624938,-0.014563101259242237
telemetry_02,0.00020992764631064758,0.001947356142660896,-0.0007005068733464251,-0.005353403748477781,-0.00014643031550750531,-0.0014097880933402688
telemetry_03,,,,,-0.022069226615599322,-0.0067001400295313715
telemetry_04,-0.00549679918611379,-0.0019740589695729296,0.001982802318933694,0.0069090872403719085,-0.005183628522473426,0.002480565084366391
telemetry_05,-0.001377371213635188,-0.0019057819645520108,0.0032221128335537157,0.001929842921461753,0.00020334991552287148,-0.0009676606611020266
telemetry_06,-0.033464539181111974,-0.08796169697086971,-0.3110196911028387,-0.2263214014957412,-0.22059546854853482,-0.27552641897106733
telemetry_07,-0.3634317753562879,-0.4307632485626869,0.5282200070688229,0.46877920698957626,-0.14582349559658295,-0.2214517954941827
telemetry_08,,,,,,-0.015744834730185665
telemetry_09,0.00042738830117281906,-0.0008944270888466048,-0.0004399805118934931,0.0015033241724526007,0.0002454895583946863,-3.0251932023468967e-05
telemetry_10,-0.004267189421155208,0.007327251760159555,0.004388476961889916,-0.004191905917476555,-0.0024535202027040483,0.006010036618133678
telemetry_11,-0.0006490045133104188,-0.08463596106303851,-0.19259883498480967,-0.28062686144298693,-0.10894669053318878,-0.31549737432614433
telemetry_12,0.03778247120605397,0.08703291421176955,0.3045846652569934,0.22145990956141062,0.2215656541152476,0.27050701808696653
telemetry_13,-0.5900574835887066,-0.6478737696508308,0.3006125030892455,0.31094678505663614,-0.5326983243605208,-0.6036736950582854
telemetry_14,,,,,,0.01466574859674286
telemetry_15,-0.48180730416601714,-0.4903302390466493,0.48856405284367055,0.4636101140265594,-0.3218784851309607,-0.3073326939415764
telemetry_16,0.6492201530633019,0.6996765470443913,-0.38618495932491126,-0.38185440766535184,0.5728887779628924,0.635088697742904
telemetry_17,,,,,,-0.008147255643762735
telemetry_18,-0.006490125185753441,0.20557305747453583,0.09978803473809147,0.257501259299504,0.04783387378156408,0.4498581560636066
telemetry_19,-0.6558537241507214,-0.7388766979612083,0.43700793095258506,0.44718915654987135,-0.5647897219071808,-0.6581556717097407
telemetry_20,,,,,,
telemetry_21,-0.6553447809034052,-0.7387717097596644,0.43811060822840786,0.4475559584353588,-0.5638041896910335,-0.6578558272949527
telemetry_22,-0.6242356794042634,-0.6725188315503696,0.37350591331131316,0.36826665919346413,-0.5464530452452776,-0.6058869154254387
telemetry_23,0.5515964434628309,0.588250958482278,-0.5075501436347658,-0.48447543567632073,0.4062940813855828,0.4315954338345235
telemetry_24,0.15464338472206227,0.07632717543463043,-0.25911121147747745,-0.26336704590929344,0.03494577145009215,-0.09664436546715427
telemetry_25,0.6889151079472544,0.7584420334070917,-0.4074123176400539,-0.3924555331317043,0.615465038949942,0.7083193120354395
telemetry_26,0.0954186225313175,0.09076512270770284,-0.1508892737266845,-0.22668863667563832,0.026079242074593972,-0.0508378861337974
telemetry_27,,,,,,
telemetry_28,0.6565806304404038,0.7246153060315763,-0.36153431616639037,-0.3599296508859514,0.5903710381464459,0.6785684504834621
