channel,train_median,train_robust_scale
telemetry_01,86.1256068751618,12.058379161140996
telemetry_02,11.450119333911868,7.6016975902044415
telemetry_03,30377.82504938608,0.0
telemetry_04,-125.89519002252504,0.03163139551046307
telemetry_05,-113.5258642454769,0.003653983060403614
telemetry_06,-138.23398579240546,1.741669091753329
telemetry_07,140.5912754437698,0.0299518241302597
telemetry_08,-4680.605940223165,0.0
telemetry_09,-152.88423589119955,9.713293941116772
telemetry_10,-62.398095712819,1.1919776178243973
telemetry_11,62.43625919331159,0.3088716378618881
telemetry_12,637.8604797511073,3.1591396458630023
telemetry_13,7133.733469887315,5.737327607426584
telemetry_14,-648.8153498138018,0.0
telemetry_15,50018.21496682397,66.15888666925152
telemetry_16,-694.5992033130013,2.5712841309757053
telemetry_17,40.41581228213973,0.0
telemetry_18,-103.24512294228765,0.12900519401666066
telemetry_19,33504.829273886986,1.3822116223126926
telemetry_20,-164.8973841769026,0.0
telemetry_21,34961.497888093465,1.5271911510493925
telemetry_22,23033.569170115163,98.0584038696463
telemetry_23,-17376.28551156349,25.134142873536987
telemetry_24,-3645.9075403895367,12.433335966794502
telemetry_25,-172.01769073691605,0.9009322595884864
telemetry_26,-7474.980156932639,26.38603164703711
telemetry_27,969.0302044744708,0.0
telemetry_28,-9751.853079010572,66.97489739533103
